message,label
"@chrismcdonough LOL! Our kitchen recipe stock is still contained in old-fashioned books, can't digitize their character. ",0
U can never go wrong with a full belly  ..back to work I go...,0
@jlovesjonas Awwwww  haha thank youuu!,0
Watching my DVR.. Conan!  http://bit.ly/1mahf8,0
@AL80s haha thaanks. i know. he did a HELLA good job ,0
"@boborama lol Bob, well that's a good thing to worry about! Wish I could make it down  Will do one day!",0
@ElyssaD you feel better now? ,0
Getting ready for another busy day at work.  Praying North Korea doesn't nuke us anytime soon.  ,0
@chelsealinn Totally jel right now. tell him hello ,0
up to my eyeballs in billing..however happier thoughts are getting me thru - hoping that someone may have a pair of TFC tix for sale. ,0
"On a highnote,80 alevel girls at work tnyt,might perk me up &amp;maybe some tune-ge for once ",0
is going swimming today ,0
Nothing better than seeing your first friends. ,0
today was fun  so incredibly tired though :p,0
"@CreateSpace Good You joined twitter, I have been sending many authors to createspace from here ",0
"@Xxpodex That wld be me , Simran pls 2 make ur acquantance , ok im not that borrin ! ",0
http://tinyurl.com/ry9wap Hi there! How are you?  Wanna know more about me? I can email you some my pictures. Please give me your emai ...,0
IÂ´m finally blonde again! ,0
@IamMaxatHotSpot Blackadder ITC! I see it! Ok! I'll try! ,0
Kuzie is an A-1 class act  Now maybe she can go on to win 5 more slams.She is playing much smarter tennis these days,0
such a goood moood !! ,0
"Last time I checked, this is still a Free Country, and we have the Freedom of Tweet!!! Haha!! So relax please.... ",0
@laumaluf I AM IN LOVE WITH THE HEADBANDS.. MONDAY I WILL GO BUY SOME MORE ,0
Eating at Houstons. Yummy! Then Prom. &amp; hopefully get to see someone tonight! ,0
FIFA final USA wins! 2-1 ,0
@Mahmoud_m94 I'm gonna give you candy ,0
@gfalcone601 Mooorning Gio! Have a good trip! I hope to stop rain ,0
@haydio dang.. that's such a shame ,0
@thefeeling see you later!!  xx,0
@wynicole well. its just showing in america so its always late here ,0
"Hey, who laughed. ",0
Can't wait to get Sims 3!  Kenny is buying it for my birthday!  4 days!!!!!  ,0
@fionajc3 It's quite cool.... and very easy.  Just visit. http://blip.fm for more info.  ,0
"@sanasaleem @mystakool jus wait 2 days, @rabiagarib will surely respond to all. And me too, for advocating her ",0
@TwilightGirl_09 lool nah dw trustt me lol its at 10 ,0
"@CardinalCondoms and with a chocolate taste, no? ",0
@gabirapuano i'm so happy you answered!! Can't blip now b/c I'm camping!! I really miss it! I'll blip tomorrow again  Obrigada btw!,0
@Babyjobamboo @funkyfabrix   Thanks ,0
Get an awesome twitter background  http://bit.ly/bgtweet http://bit.ly/custombg,0
should be asleep. but im listening to the hist ,0
@Twistedlilkitty like a pokemon ,0
Thanks for everything ,0
@PaulaFanx13 Lol..Thanks  Glad you like it ,0
so tired from life guarding...nothing heals muscle soreness then a good bowl of birthday cake ice cream ,0
@rosesfalling Q1 was what's your fave video  #MCRchat,0
@NickkkJonasss hey nick!! i can't wait til tom for LVATT!! im gonna buy it first thing in the morning!!  i love you guys!!!   &lt;3 -jess,0
"Game night  w carly, sean, mike, kelly, and @CaitlinClarke",0
@JoshFittell i do what i can.  whats up? so bored.,0
Feeling so messy just now. Felt better aft talking to Amber.  Thanks ! ^^ I know what to do alrdy.,0
@netmogul and they clapped ,0
Tommorow iPhone OS 3.0 software ,0
okay.... sunshine wins... great day for a beach session today! ,0
is off to bed. Ready for cut and colour tomorrow ,0
Just got back from biking. Taking a sip then going to the forest preserve and bike there ,0
@Jonasbrothers ir for ir yesterday!!!!  btw. Love the new album!!!!!!! ,0
wow... i actually learnt something from revising... physics is shit ,0
Antidepressant of The Day#Depression #Joy #Antidepressant #Medicine #Hope #Rest #Faith #God #Inspire #Encourage #Peace #AntidepressantOfTheDay #Happy pic.twitter.com/YyWEOAaUAE,1
I hate the bad days.. Been a long time since I've felt this low.. #depression #borderlinepersonality #mentalillness #bipolar #anxiety,1
"I ACCIDENTALLY TOOK A DEPRESSION NAP,, ITS BEEN HOURS",1
Depression is coming i feel it my veins just what i wanted love it i give it 10 out of 10 soo good,1
Debating whether to delete all social media over summer COS don't think it's worth the double depression seeing everyone on hol when mines been cancelled <Emoji: Crying face><Emoji: Crying face>,1
@mattmcfadden Sorry for your loss. Depression is brutal.,1
depression nap incoming gn,1
@ThomasSanders Ya girl stayed home from school today because of my anxiety and depression and avoided a trigger,1
"Hello again, me old friend depression. Been a while hasn't it?",1
"@ravensspirit68 Me too, shortly. Only so much depression I can tolerate per day.",1
Is it me or is the world going through a collective existential depression?,1
"Anchor Hocking Manhattan Pink Depression Glass Serving Bowl, Relish Dish, Candy Dish with Double Handles, Ribbed Pattern, 1930's  https://etsy.me/2Jryzu3Â  via @Etsy",1
"not even in college yet but i can already feel the stress level, depression, lack of sleep and more stress <Emoji: Slightly smiling face>",1
"FLEABAG+SELFISH CROCWhen Ned the Shire Horse injures his leg, he can no longer work. Too sad to go out, he fears the slaughterhouse. But Farmer Bill won't let an old friend down & helps Ned overcome his depression & find a new job giving rides to kids.#PB #own #DVpit #DIS",1
"What does a person do when they survive a severe brain injury, Depression and many panic attacks?  Read about healing and using that information learned to help others in similar situations",1
@fanxyncity his feet look like they have depression,1
Great blog piece on dealing with stress from @AfSFH #stress #anxiety #depression #MentalHealth #MentalHealthAwareness #mentalhealthmatters #Hypnotherapy #Coping #Wellbeing #SeeChange #positivity #PositiveThoughts #positivethinking #Leeds #solutionfocused #Happiness #healthylife https://twitter.com/afsfh/status/989136839624790016Â â¦,1
"Teen Charged with Manslaughter; Encouraged Friend's Suicide - Maya Murphy, P.C. #teenagesuicide #depression #peerpressure #suicide #criminaldefense #mayalaw #lawyersinct  https://buff.ly/2JR5Yj3Â  pic.twitter.com/vkReUW83jM",1
@TroyNel16190599 Sucking my dick cures depression,1
Remembering my dad a few weeks after his passing. Losing him was the last straw. This thing that finally broke me. #death #family #rip #depression #wellbeing  https://carafromthebottomup.wordpress.com/2018/04/25/my-dad/Â â¦ pic.twitter.com/aEmtRt94Vp,1
"Mom's depression tied to kids' emotional, intellectual development  http://dlvr.it/QQmx4YÂ  pic.twitter.com/1Bq2PAvWAG",1
Its 12:44 pm and my depression has me still in my bed <Emoji: Disappointed face>,1
Fffssss depression szn  https://twitter.com/halfadams/status/989205838886776833Â â¦,1
I love how you say you suffer depression when you probably live in a house and have food every day and electricity. Just get ov... â I see this argument popping up a lot when it comes to depression so I have something to say: depr...  https://curiouscat.me/cutiepienestor/post/429598999?1524670430Â â¦,1
@ShirishKunder @aranjan2012 @Kshitishsc @SanghiWalker @GaganJass141 Troll Gagan ! I can understand the frustration you are going through.  But my concern is your frustration will continue till 2024 now - Modi will be back ! Please consult a good doctor for depression which you might get into after General elections next year !!,1
"@PaulPester @TSB @paulpester I cannot shop online, I can not use card in atm, I cannot get through to telephone banking for 3 days now. I have history of mental illness and you have now triggered massive depression again. This needs massive legal action",1
@Rubberbandits one of yer lads was on with Tommy Tiernan a few months back on about depression & suicide. I know women who have committed suicide after abortion. I considered it. Maybe it is the plastic bags on yer heads that stop ye from seeing reality. In EVERY abortion a child dies.,1
"When Gabi read a tweet to me from someone saying they got free depression from college, I felt that",1
I spent all of 10th grade crying for absolutely no reason and i wish someone would've told me what depression was back then rather than me just thinking I wanted to die,1
depression from past me for making baked goods,1
To be fair if you've a life threatening or physical limiting condition or haven't a roof over your head&/or no food in your belly or no clothes in your wardrobe&no wardrobe&no where to have a hot bath or shower or are experiencing grief then yeah i understand depression stuff.,1
"hey everyone <Emoji: Sparkling heart> i just wanted to recommend for anyone struggling with anxiety & depression, and you haven't found an outlet to cope with it, i definitely recommend arts & crafts. any creative outlet is very good for anxiety & depression (amount other things) have a good day <Emoji: Heavy red heart>",1
@BruniCFC Says an alpha male. I was talking about Chelsea giving me depression.,1
@Bipolarstrong_ Together we can fight. I suffer with depression and am constantly reminded that I'm not good enough. Continue to be strong we are here for you.,1
@GoodCharlotte @sarahjanebrown5 It had only been like 2 weeks when you wrote this <Emoji: Face with tears of joy> post concert depression am I right? <Emoji: Loudly crying face>,1
there are times depression will hit you out of nowhere even you are enjoying your day.....,1
There's Hope: Deepika Padukone On Depression at 'TIME 100' Gala https://bit.ly/2Hpa1WeÂ ,1
Like breathing exercises do not eliminate depression... try again y'all,1
summer depression comes every year,1
have u ever noticed depression naps are great for like a second? That one second when you wake up don't remember but also the next second is nice when you go back to sleep,1
"RT @kyem74: @Fact This person with depression, anxiety, PTSD ... doesn't hÃ«hÃ«",1
How to Avoid Depression While Working in Business by Tommy Zimmer  https://mental-health-matters.com/how-to-avoid-depression-while-working-in-business/Â â¦ pic.twitter.com/jyv5IO1vY5,1
"i will never get over the fact how easy it is for people to joke about someone's depression, addiction, anxiety and suicidal thoughts simply because that person is justin bieber",1
"@raycomfort @AmputeeAtheist Dear troll, I suffered with depression for man years and was medicated many times during that period. A good friend prayed with me and I turned to God to take the depression. God answered. No more depression, no more medication.",1
"Almost 2 years drowned in depression, I finally found myself back. But no, it's not the old me, it's the new me.",1
"depression is lethal, you are condemning a woman who was actually fighting to live? guess who's the monster now#ë°ë´ì ë°ë´ë²ë ¤ëì¸ì",1
"Yesterday, I struggled really badly with my depression but worked through it. This morning, I have a permanent writing job offer in my emails and a genuine producer is currently reading an animated short I wrote. Keep going, even when it feels impossible.#WednesdayWisdom",1
